left_to_pin_before,penalty,hole_no,shot_no,completed,putt,left_to_pin_after,par,yards,mp_name,usa_player1,usa_player2,eur_player1,eur_player2,mp_start_time,player_shot_name,shot_team,lie_after,lie_before
216,FALSE,4,2,TRUE,TRUE,12,3,210,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Green,Green
12816,FALSE,5,1,TRUE,FALSE,5040,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Fairway,Tee
12,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Hole,Green
5292,FALSE,5,2,TRUE,FALSE,396,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Rough,Fairway
12816,FALSE,5,1,TRUE,FALSE,3960,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Fairway,Tee
396,FALSE,5,3,TRUE,FALSE,72,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Rough
14472,FALSE,7,1,TRUE,FALSE,2520,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Fairway,Tee
60,FALSE,6,4,TRUE,TRUE,1,5,642,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Hole,Green
23112,FALSE,6,1,TRUE,FALSE,12240,5,642,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Fairway,Tee
7560,FALSE,9,2,TRUE,FALSE,168,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Fairway
12816,FALSE,5,1,TRUE,FALSE,2664,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Rough,Tee
12312,FALSE,6,2,TRUE,FALSE,5364,5,642,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Fairway,Rough
72,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Hole,Green
7560,FALSE,4,1,TRUE,FALSE,720,3,210,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Greenside Bunker,Tee
720,FALSE,4,2,TRUE,FALSE,120,3,210,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Green,Greenside Bunker
120,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,NA,Green
2664,FALSE,5,2,TRUE,FALSE,252,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green Fringe,Rough
252,FALSE,5,3,TRUE,FALSE,72,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Green Fringe
72,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,NA,Green
7560,FALSE,4,1,TRUE,FALSE,360,3,210,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Tee
360,FALSE,4,2,TRUE,TRUE,36,3,210,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Green
36,FALSE,4,3,TRUE,TRUE,1,3,210,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
13320,FALSE,6,2,TRUE,FALSE,5040,5,642,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Fairway,Rough
5040,FALSE,6,3,TRUE,FALSE,1080,5,642,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Rough,Fairway
24,FALSE,6,6,TRUE,TRUE,1,5,642,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,NA,Green
96,FALSE,5,3,TRUE,TRUE,24,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Green
2520,FALSE,7,2,TRUE,FALSE,180,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Fairway
24,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
14472,FALSE,7,1,TRUE,FALSE,3492,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Rough,Tee
6696,FALSE,8,1,TRUE,FALSE,300,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Tee
180,FALSE,7,3,TRUE,TRUE,12,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Green
3492,FALSE,7,2,TRUE,FALSE,192,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Rough
12,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,NA,Green
192,FALSE,7,3,TRUE,TRUE,24,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Green
24,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,NA,Green
23112,FALSE,6,1,TRUE,FALSE,12096,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Fairway,Tee
3960,FALSE,5,2,TRUE,FALSE,96,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Fairway
14472,FALSE,8,1,TRUE,FALSE,3492,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Rough,Tee
12096,FALSE,6,2,TRUE,FALSE,2988,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Rough,Fairway
5040,FALSE,5,2,TRUE,FALSE,420,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Fairway
60,FALSE,6,4,TRUE,TRUE,1,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,NA,Green
420,FALSE,5,3,TRUE,TRUE,60,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Green
60,FALSE,5,4,TRUE,TRUE,1,4,352,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,NA,Green
23112,FALSE,6,1,TRUE,FALSE,12240,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Intermediate Rough,Tee
23112,FALSE,6,1,TRUE,FALSE,12672,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Fairway,Tee
300,FALSE,8,2,TRUE,TRUE,24,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Green
14472,FALSE,7,1,TRUE,FALSE,3744,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Fairway,Tee
23112,FALSE,6,1,TRUE,FALSE,13464,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Rough,Tee
13464,FALSE,6,2,TRUE,FALSE,5832,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Fairway,Rough
5832,FALSE,6,3,TRUE,FALSE,300,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Fairway
300,FALSE,6,4,TRUE,TRUE,1,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Hole,Green
2988,FALSE,6,3,TRUE,FALSE,60,5,642,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Rough
14472,FALSE,7,1,TRUE,FALSE,2124,4,402,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Fairway,Tee
2124,FALSE,7,2,TRUE,FALSE,120,4,402,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Green,Fairway
6696,FALSE,8,1,TRUE,FALSE,216,3,186,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Green,Tee
17100,FALSE,9,1,TRUE,FALSE,7560,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Fairway,Tee
14472,FALSE,7,1,TRUE,FALSE,3384,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Rough,Tee
3384,FALSE,7,2,TRUE,FALSE,180,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Rough
14472,FALSE,7,1,TRUE,FALSE,2988,4,402,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Intermediate Rough,Tee
12672,FALSE,6,2,TRUE,FALSE,4320,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Fairway,Fairway
24,FALSE,8,4,TRUE,TRUE,1,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,NA,Green
3492,FALSE,8,2,TRUE,FALSE,192,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Rough
192,FALSE,8,3,TRUE,TRUE,24,3,186,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Green
17100,FALSE,9,1,TRUE,FALSE,7020,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Fairway,Tee
4320,FALSE,6,3,TRUE,FALSE,264,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Fairway
12240,FALSE,6,2,TRUE,FALSE,4680,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Fairway,Intermediate Rough
264,FALSE,6,4,TRUE,TRUE,24,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Green
24,FALSE,6,5,TRUE,TRUE,1,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
3744,FALSE,7,2,TRUE,FALSE,444,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Fairway
6696,FALSE,8,1,TRUE,FALSE,540,3,186,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Greenside Bunker,Tee
540,FALSE,8,2,TRUE,FALSE,444,3,186,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,J B Holmes,USA,Green,Greenside Bunker
4680,FALSE,6,3,TRUE,FALSE,360,5,642,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Greenside Bunker,Fairway
216,FALSE,8,2,TRUE,TRUE,12,3,186,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Green,Green
2988,FALSE,7,2,TRUE,FALSE,312,4,402,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Green,Intermediate Rough
180,FALSE,7,3,TRUE,TRUE,60,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Green
60,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,NA,Green
16272,FALSE,10,1,TRUE,FALSE,5400,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Rough,Tee
14472,FALSE,7,1,TRUE,FALSE,4392,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Intermediate Rough,Tee
4392,FALSE,7,2,TRUE,FALSE,228,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Intermediate Rough
7020,FALSE,9,2,TRUE,FALSE,288,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Fairway
288,FALSE,9,3,TRUE,TRUE,24,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Green
24,FALSE,9,4,TRUE,TRUE,1,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Hole,Green
228,FALSE,7,3,TRUE,TRUE,12,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Green
5400,FALSE,10,2,TRUE,FALSE,1440,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Rough,Rough
17100,FALSE,9,1,TRUE,FALSE,8064,4,475,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Intermediate Rough,Tee
12,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
444,FALSE,7,3,TRUE,TRUE,48,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Green
48,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Hole,Green
14472,FALSE,7,1,TRUE,FALSE,1980,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Intermediate Rough,Tee
1980,FALSE,7,2,TRUE,FALSE,168,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Intermediate Rough
8064,FALSE,9,2,TRUE,FALSE,324,4,475,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Green Fringe,Intermediate Rough
168,FALSE,9,3,TRUE,TRUE,24,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Green
168,FALSE,7,3,TRUE,TRUE,48,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Green
48,FALSE,7,4,TRUE,TRUE,1,4,402,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Hole,Green
6696,FALSE,8,1,TRUE,FALSE,48,3,186,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Tee
48,FALSE,8,2,TRUE,TRUE,1,3,186,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Hole,Green
6696,FALSE,8,1,TRUE,FALSE,612,3,186,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Rough,Tee
24,FALSE,9,4,TRUE,TRUE,1,4,475,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,NA,Green
612,FALSE,8,2,TRUE,FALSE,48,3,186,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Rough
48,FALSE,8,3,TRUE,TRUE,1,3,186,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,NA,Green
6696,FALSE,8,1,TRUE,FALSE,660,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Tee
660,FALSE,8,2,TRUE,TRUE,36,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Green
36,FALSE,8,3,TRUE,TRUE,1,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Hole,Green
16272,FALSE,10,1,TRUE,FALSE,5364,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Fairway,Tee
5364,FALSE,10,2,TRUE,FALSE,264,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Fairway
264,FALSE,10,3,TRUE,TRUE,24,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,Green,Green
24,FALSE,10,4,TRUE,TRUE,1,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Jordan Spieth,USA,NA,Green
21816,FALSE,11,1,TRUE,FALSE,11088,5,606,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Out of Bounds,Tee
17100,FALSE,9,1,TRUE,FALSE,5436,4,475,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Fairway,Tee
21816,FALSE,11,1,TRUE,FALSE,11664,5,606,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Fairway,Tee
6696,FALSE,8,1,TRUE,FALSE,144,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Tee
144,FALSE,8,2,TRUE,TRUE,36,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Green,Green
5436,FALSE,9,2,TRUE,FALSE,312,4,475,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Dustin Johnson,USA,Green,Fairway
36,FALSE,8,3,TRUE,TRUE,1,3,186,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
17100,FALSE,9,1,TRUE,FALSE,7200,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Fairway,Tee
7200,FALSE,9,2,TRUE,FALSE,132,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Fairway
11088,TRUE,11,2,TRUE,FALSE,11088,5,606,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Rough,Out of Bounds
16272,FALSE,10,1,TRUE,FALSE,6012,4,452,Friday Fourballs Match 2,Ryan Moore,J B Holmes,Sergio Garcia,Rafa Cabrera Bello,2016-09-30 17:45:00,Ryan Moore,USA,Rough,Tee
1440,FALSE,10,3,TRUE,FALSE,300,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,Green,Rough
17100,FALSE,9,1,TRUE,FALSE,8964,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Rough,Tee
48,FALSE,9,4,TRUE,TRUE,1,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,NA,Green
300,FALSE,10,4,TRUE,TRUE,1,4,452,Friday Fourballs Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 17:30:00,Patrick Reed,USA,NA,Green
72,FALSE,9,4,TRUE,TRUE,1,4,475,Friday Fourballs Match 4,Matt Kuchar,Dustin Johnson,Rory Mcilroy,Thomas Pieters,2016-09-30 18:15:00,Matt Kuchar,USA,Hole,Green
8964,FALSE,9,2,TRUE,FALSE,540,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Rough,Rough
540,FALSE,9,3,TRUE,FALSE,48,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brandt Snedeker,USA,Green,Rough
132,FALSE,9,3,TRUE,TRUE,24,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,Green,Green
24,FALSE,9,4,TRUE,TRUE,1,4,475,Friday Fourballs Match 3,Brandt Snedeker,Brooks Koepka,Martin Kaymer,Danny Willett,2016-09-30 18:00:00,Brooks Koepka,USA,NA,Green
